landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_v,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_v,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_v,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_v,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_v,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_v,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_v,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_v,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_v,label,is_reliable
0.4997952878475189,0.702718198299408,-1.191094160079956,0.9972720742225647,0.6301242709159851,0.5958570837974548,-0.7937629818916321,0.9981478452682495,0.3390566110610962,0.6274499893188477,-0.6848466992378235,0.996439516544342,0.786200761795044,0.8549633026123047,-0.6058136820793152,0.9814357161521912,0.23535940051078796,0.9399334192276001,-0.3899608850479126,0.9565319418907166,1.005104422569275,0.8777135610580444,-0.9640253782272339,0.7052482962608337,0.04540532827377319,1.0132390260696411,-0.7155802845954895,0.739443302154541,0.7424576282501221,1.803715467453003,-0.09899062663316727,0.01318384986370802,0.3930947482585907,1.8449599742889404,0.1032218188047409,0.011274400167167187,correct_posture,False
0.5030140280723572,0.7011604905128479,-1.3522586822509766,0.9975077509880066,0.6305454969406128,0.592764139175415,-0.9300481677055359,0.9982947707176208,0.34198296070098877,0.6223421692848206,-0.8040766716003418,0.9967420697212219,0.779312014579773,0.8554061651229858,-0.7195580005645752,0.9810773134231567,0.22144635021686554,0.9431484341621399,-0.45194220542907715,0.9542143940925598,0.97950679063797,0.8668925166130066,-1.0704056024551392,0.6961262822151184,0.024142876267433167,1.0129752159118652,-0.23746097087860107,0.7351309061050415,0.7290087938308716,1.8133734464645386,-0.15695659816265106,0.012193433940410614,0.36058127880096436,1.8626017570495605,0.1634191870689392,0.010344657115638256,correct_posture,False
0.5061694383621216,0.6913796067237854,-1.1889551877975464,0.99764484167099,0.6255742311477661,0.5829573273658752,-0.7039319276809692,0.9983813762664795,0.3513701856136322,0.6180058717727661,-0.5464853644371033,0.9969099760055542,0.7660790681838989,0.8587663769721985,-0.6103173494338989,0.9812440872192383,0.22393980622291565,0.9359645843505859,-0.2398906946182251,0.9519766569137573,0.9962179064750671,0.9330294132232666,-1.0547881126403809,0.7005470991134644,0.02741054818034172,1.003987431526184,-0.08605023473501205,0.7423191666603088,0.7280935645103455,1.867585301399231,-0.18869826197624207,0.011435219086706638,0.36236611008644104,1.9099699258804321,0.19603592157363892,0.009541035629808903,correct_posture,False
0.507508397102356,0.6716068387031555,-1.3706939220428467,0.9978218674659729,0.6253660917282104,0.5386844873428345,-0.9965189099311829,0.9984860420227051,0.351907342672348,0.5843315720558167,-0.9030817151069641,0.9971147775650024,0.7655375003814697,0.8402106761932373,-0.7498292326927185,0.9813348650932312,0.22032909095287323,0.8886845707893372,-0.4800534248352051,0.951248288154602,0.9885575175285339,0.9442806839942932,-0.9222054481506348,0.7064628601074219,0.04957780987024307,0.9307399988174438,-0.07888074964284897,0.7254666686058044,0.7185553908348083,1.8130968809127808,-0.17627230286598206,0.011639530770480633,0.34263545274734497,1.8482221364974976,0.18264608085155487,0.009395554661750793,correct_posture,False
0.5043768882751465,0.6162874102592468,-1.0244790315628052,0.9980272054672241,0.6252955198287964,0.49238601326942444,-0.6850405931472778,0.9986248016357422,0.3548211455345154,0.5165806412696838,-0.5114306211471558,0.9973900318145752,0.765826940536499,0.8374229073524475,-0.5429494976997375,0.9830254316329956,0.2329152524471283,0.813186526298523,-0.11601325124502182,0.9558988809585571,0.9945074319839478,1.0256906747817993,-1.0766584873199463,0.7222192883491516,0.1609731912612915,1.1436651945114136,0.5102341771125793,0.6897813677787781,0.7015177607536316,1.78519606590271,-0.19003567099571228,0.013296681456267834,0.3300119936466217,1.8020175695419312,0.19627603888511658,0.00960600282996893,correct_posture,False
0.5099400281906128,0.5231261849403381,-1.0111794471740723,0.9982160925865173,0.6251148581504822,0.4251909852027893,-0.6146824955940247,0.9987550377845764,0.3655223250389099,0.4407666325569153,-0.4640420973300934,0.9976436495780945,0.7619671821594238,0.7775737047195435,-0.408677875995636,0.9845378994941711,0.23576796054840088,0.7628975510597229,-0.09536538273096085,0.9601306915283203,0.9891478419303894,1.0853688716888428,-0.99793940782547,0.7184820175170898,0.16333764791488647,1.2005436420440674,0.10649744421243668,0.6576249003410339,0.6953648328781128,1.725840449333191,-0.18287663161754608,0.013022738508880138,0.3328121602535248,1.7350116968154907,0.18903306126594543,0.009217880666255951,correct_posture,False
0.5098408460617065,0.44554850459098816,-0.9999788999557495,0.9983781576156616,0.6254140138626099,0.3429863750934601,-0.5402003526687622,0.9988608956336975,0.3691454231739044,0.35706841945648193,-0.45515233278274536,0.997865617275238,0.7620089650154114,0.6615670919418335,-0.27795130014419556,0.9859321713447571,0.2465130090713501,0.6946378350257874,-0.14710363745689392,0.964054524898529,0.9017578363418579,1.0271188020706177,-0.571199357509613,0.6789774298667908,0.1782168745994568,1.1838912963867188,-0.32539698481559753,0.6363434195518494,0.6958956122398376,1.6607518196105957,-0.14794400334358215,0.012144425883889198,0.34116068482398987,1.676245927810669,0.15440024435520172,0.008708919398486614,correct_posture,False
0.5754669308662415,0.16757218539714813,-1.0450730323791504,0.9976277351379395,0.6913166642189026,0.06920208036899567,-0.6062017679214478,0.9977925419807434,0.38029569387435913,-0.0016903788782656193,-0.729354977607727,0.9964120984077454,0.7645131349563599,0.3544084131717682,-0.345177561044693,0.9867169857025146,0.2401011735200882,0.36298254132270813,-0.28365176916122437,0.9658082127571106,0.8830991983413696,0.7898663282394409,-0.09733618050813675,0.6301727294921875,0.20129108428955078,0.7937719821929932,-0.42075079679489136,0.5787897109985352,0.7337560653686523,1.2886688709259033,-0.046236686408519745,0.01322397030889988,0.4112568497657776,1.3186839818954468,0.04839717596769333,0.009295361116528511,correct_posture,False
0.5994301438331604,0.0791419968008995,-1.049214243888855,0.9978299736976624,0.7128195762634277,0.020154166966676712,-0.6135894060134888,0.9979537129402161,0.40009331703186035,-0.017732152715325356,-0.7698379755020142,0.9966949820518494,0.7780664563179016,0.3455195128917694,-0.3694796860218048,0.9878427386283875,0.24007804691791534,0.3412618339061737,-0.5209909677505493,0.9689049124717712,0.9031304121017456,0.6934213042259216,0.11733269691467285,0.6206390857696533,0.13086949288845062,0.44930416345596313,-0.9999153017997742,0.5916182994842529,0.7396002411842346,1.1973100900650024,0.022796940058469772,0.04330117627978325,0.4289572834968567,1.2451921701431274,-0.022389711812138557,0.03841667249798775,correct_posture,False
0.6049789190292358,0.13667283952236176,-1.0537782907485962,0.9980078339576721,0.7260591387748718,0.04011167958378792,-0.6234171986579895,0.9980940222740173,0.4013912081718445,-0.0009279039804823697,-0.748659074306488,0.9969375729560852,0.8033647537231445,0.3960348963737488,-0.4008067548274994,0.98853600025177,0.24379102885723114,0.37487539649009705,-0.5037205219268799,0.9715142846107483,0.909493088722229,0.7453760504722595,-0.2415870726108551,0.604583203792572,0.13098779320716858,0.419528990983963,-1.0038015842437744,0.58637535572052,0.7468233704566956,1.2032746076583862,0.01698106899857521,0.06037939339876175,0.44552746415138245,1.2365928888320923,-0.01707499846816063,0.06293610483407974,correct_posture,False
